Date_ecriture,Sous_compte,Libelle,Debit,Credit,Reference
2024-07-01,512001,Perception frais de scolarité rentrée 2024,0,16000000,FACT-20240701
2024-07-01,706001,Perception frais de scolarité rentrée 2024,16000000,0,FACT-20240701
2024-07-05,603001,Achat fournitures bureau,900000,0,FACT-FOUR-024
2024-07-05,512001,Achat fournitures bureau,0,900000,FACT-FOUR-024
2024-07-10,621001,Paiement salaires enseignants juillet,8500000,0,SAL-JUL24
2024-07-10,622001,Paiement salaires administratifs juillet,3800000,0,SAL-JUL24
2024-07-10,512001,Paiement salaires juillet,0,12300000,SAL-JUL24
2024-08-01,611001,Paiement loyer bâtiments août,2600000,0,LOY-AOU24
2024-08-01,512001,Paiement loyer bâtiments août,0,2600000,LOY-AOU24
2024-08-05,605001,Facture électricité août,480000,0,FACT-EDL-AOU24
2024-08-05,512001,Facture électricité août,0,480000,FACT-EDL-AOU24
2024-09-15,604001,Achat tables et chaises nouvelles,2500000,0,FACT-MOB-024
2024-09-15,512001,Achat tables et chaises nouvelles,0,2500000,FACT-MOB-024
2024-09-20,633001,Achat riz cantine septembre,2000000,0,FACT-CANT-024
2024-09-20,512001,Achat riz cantine septembre,0,2000000,FACT-CANT-024
2024-10-01,512001,Perception frais trimestriels octobre,0,12500000,FACT-20241001
2024-10-01,706001,Perception frais trimestriels octobre,12500000,0,FACT-20241001
2024-11-10,612002,Réparation matériel scolaire,600000,0,FACT-REP-024
2024-11-10,512001,Réparation matériel scolaire,0,600000,FACT-REP-024
2024-12-15,636001,Organisation fête de fin d'année,550000,0,FACT-FETE-24
2024-12-15,512001,Organisation fête de fin d'année,0,550000,FACT-FETE-24
2025-01-05,512001,Perception frais 2ème semestre,0,13500000,FACT-20250105
2025-01-05,706001,Perception frais 2ème semestre,13500000,0,FACT-20250105
2025-02-01,602001,Achat cahiers et papiers,650000,0,FACT-FOUR-025
2025-02-01,512001,Achat cahiers et papiers,0,650000,FACT-FOUR-025
2025-03-10,512001,Réception subvention État,0,5500000,SUB-ETAT-25
2025-03-10,741001,Réception subvention État,5500000,0,SUB-ETAT-25
2025-04-30,641001,Amortissement tables et chaises,850000,0,AMORT-2025
2025-04-30,281001,Amortissement tables et chaises,0,850000,AMORT-2025
2025-04-30,642001,Amortissement ordinateurs,1300000,0,AMORT-2025
2025-04-30,280001,Amortissement ordinateurs,0,1300000,AMORT-2025
2025-05-31,645001,Provision créances douteuses,1200000,0,PROV-2025
2025-05-31,491001,Provision créances douteuses,0,1200000,PROV-2025
2025-06-30,120001,Bénéfice exercice 2024-2025,0,19500000,CLOT-2025
2025-06-30,129001,Report à nouveau bénéfice,19500000,0,CLOT-2025
